지역,Year,Month,강수량,수위,유입량
대청,2023,1,28,71.05,18.73
대청,2023,2,2.8,70.34,14.4
대청,2023,3,18.8,69.42,13.68
대청,2023,4,30.1,68.51,16.37
대청,2023,5,202.4,68.07,67.2
대청,2023,6,97.4,68.29,58.01
대청,2023,7,701.7,71.66,746.82
대청,2023,8,297.7,73.39,194.9
대청,2023,9,267.9,75.88,170.98
대청,2023,10,55.58,72.62,35.87
대청,2023,11,47.61,72.16,23.52
대청,2023,12,28.89,71.68,23.34
섬진강,2023,1,17,176.41,7
섬진강,2023,2,11,176.91,2.14
섬진강,2023,3,34,176.69,2.28
섬진강,2023,4,59,177.51,5.87
섬진강,2023,5,235,178.85,30.63
섬진강,2023,6,252,179.7,38.36
섬진강,2023,7,709,188.57,163.7
섬진강,2023,8,344,190.36,41.91
섬진강,2023,9,207,190.31,33.95
섬진강,2023,10,57.87,185.68,6.13
섬진강,2023,11,54.98,185.4,3.37
섬진강,2023,12,3.33,185.75,5.14
소양강,2023,1,47,181.15,10.04
소양강,2023,2,0,178.09,7.5
소양강,2023,3,14,175.59,14.7
소양강,2023,4,97,174.22,33.21
소양강,2023,5,126,174.79,60.16
소양강,2023,6,245,174.93,56.17
소양강,2023,7,358,180.59,195.96
소양강,2023,8,268,183.98,113.87
소양강,2023,9,118,187.98,96.73
소양강,2023,10,44.35,182.7,30.5
소양강,2023,11,50.45,181.12,20.8
소양강,2023,12,12.05,178.8,11.3
안동,2023,1,25,145.5,4.99
안동,2023,2,56,143.96,4.65
안동,2023,3,34,142.46,5.86
안동,2023,4,58,141.93,12.04
안동,2023,5,120,142.94,34.28
안동,2023,6,245,142.3,74.85
안동,2023,7,364,152.08,245.88
안동,2023,8,168,153.49,85.45
안동,2023,9,207,156.84,91.03
안동,2023,10,48.59,149.79,15.53
안동,2023,11,31.63,149.21,7.41
안동,2023,12,16.23,148.39,5.4
용담,2023,1,27,248.91,6.53
용담,2023,2,8,247.5,3.77
용담,2023,3,29,245.78,4.31
용담,2023,4,59,244.27,6.92
용담,2023,5,261,244.41,39.63
용담,2023,6,222,246.79,36.31
용담,2023,7,641,254.93,188.13
용담,2023,8,296,257.11,62.71
용담,2023,9,176,258.95,42.8
용담,2023,10,61.05,255.8,9.11
용담,2023,11,61.1,254.69,5.74
용담,2023,12,36.64,253.62,5.83
의암,2023,1,47,71.03,102.11
의암,2023,2,0,71.03,96.01
의암,2023,3,14,70.99,67.15
의암,2023,4,97,70.98,82.71
의암,2023,5,126,70.73,128.23
의암,2023,6,245,70.25,148.18
의암,2023,7,358,69.95,337.01
의암,2023,8,268,70.01,104.47
의암,2023,9,118,70.28,67.55
의암,2023,10,77.53,70.91,95.2
의암,2023,11,47.84,70.93,125.79
의암,2023,12,23.91,70.04,122.44
임하,2023,1,25,143.76,1.71
임하,2023,2,6,142.46,2.09
임하,2023,3,34,141.31,2.75
임하,2023,4,58,141.15,4.85
임하,2023,5,120,142.59,16.49
임하,2023,6,245,143.54,28.43
임하,2023,7,364,153.27,138.53
임하,2023,8,168,157.62,65.58
임하,2023,9,207,160.28,69.94
임하,2023,10,48.59,151.4,12.37
임하,2023,11,31.63,150.2,3.52
임하,2023,12,16.23,149.16,2.88
주암,2023,1,47,93.91,6.24
주암,2023,2,24,92.97,2.07
주암,2023,3,42,89.26,3.2
주암,2023,4,76,90.26,10.39
주암,2023,5,187,94.2,24.44
주암,2023,6,277,94.14,33.46
주암,2023,7,638,102.05,227.56
주암,2023,8,407,103.62,65.68
주암,2023,9,209,107.36,52.64
주암,2023,10,75.15,102.5,14.8
주암,2023,11,51.05,101.46,4.76
주암,2023,12,27.5,100.47,3.53
청평,2023,1,51,50.55,113.54
청평,2023,2,1,50.48,98.56
청평,2023,3,10,50.51,75.85
청평,2023,4,99,50.51,107.45
청평,2023,5,125,50.37,173.54
청평,2023,6,351,49.88,220.23
청평,2023,7,457,49.57,625.76
청평,2023,8,220,49.65,180.59
청평,2023,9,115,49.85,128.9
청평,2023,10,48.7,50.51,133.23
청평,2023,11,54.15,50.48,137.67
청평,2023,12,13.3,49.72,275.32
춘천,2023,1,46,102.46,25.22
춘천,2023,2,1,102.47,23.45
춘천,2023,3,11,102.5,22.69
춘천,2023,4,106,102.51,33.6
춘천,2023,5,95,101.82,84.25
춘천,2023,6,245,101.38,107.25
춘천,2023,7,348,101.05,191.39
춘천,2023,8,219,101.15,67.23
춘천,2023,9,101,101.42,40.42
춘천,2023,10,52.01,102.25,180.52
춘천,2023,11,53.27,102.27,20.53
춘천,2023,12,22.24,101.1,19.84
충주,2023,1,20,134.68,33.28
충주,2023,2,3,133.97,22.07
충주,2023,3,17,132.29,24.15
충주,2023,4,32,130.22,43.07
충주,2023,5,132,129.76,105.5
충주,2023,6,219,127.74,94.95
충주,2023,7,378,131.07,628.75
충주,2023,8,218,133.71,354.8
충주,2023,9,220,136.33,322.82
충주,2023,10,50.57,134.98,74.69
충주,2023,11,41.8,133.87,42.64
충주,2023,12,23.82,132.47,30.91
합천,2023,1,27,148.65,3.46
합천,2023,2,19,148.11,2.69
합천,2023,3,30,146.88,2.5
합천,2023,4,43,146.28,4.16
합천,2023,5,192,147.54,18.14
합천,2023,6,203,149.75,27.38
합천,2023,7,352,162.94,135.58
합천,2023,8,431,170.09,74.64
합천,2023,9,165,173.46,40.72
합천,2023,10,71.07,164.52,14.33
합천,2023,11,38,163.7,6.46
합천,2023,12,18.66,162.48,5.43
화천,2023,1,33,173.77,13.46
화천,2023,2,1,172.73,11.22
화천,2023,3,10,171.67,13.2
화천,2023,4,75,171.3,25.02
화천,2023,5,70,170.6,45.43
화천,2023,6,190,166.42,56.66
화천,2023,7,274,167.31,144.77
화천,2023,8,205,168.86,78.12
화천,2023,9,95,173.83,52.64
화천,2023,10,44.61,170.21,24.06
화천,2023,11,50.85,169.82,46.7
화천,2023,12,18.66,167.64,24.92
